subject,trial,trial_uid,redundancy,unique_ecn,unique_dmn,synergy
sub-M87100481,24,sub-M87100481_win_24,0.2434876583393608,0.4154901914189022,0.0,1.1657021834157728
sub-M87100481,25,sub-M87100481_win_25,0.37482535673875716,0.16376071769752443,0.0,1.2204140607693708
sub-M87100481,26,sub-M87100481_win_26,0.3663587145669087,0.0,0.13657436366925246,1.2571208050810236
sub-M87100481,27,sub-M87100481_win_27,0.4588548134613335,0.35600179738018767,0.0,1.1359653388512685
sub-M87100481,28,sub-M87100481_win_28,0.5794523677064491,0.0,0.12803768624500655,1.249903484487537
sub-M87100481,29,sub-M87100481_win_29,0.553408262237995,0.30025419381588936,0.0,0.826127113953036
sub-M87100481,30,sub-M87100481_win_30,0.4598293248137173,0.0,0.25847760356559224,1.2651270959977454
sub-M87100481,31,sub-M87100481_win_31,0.33642505690863356,0.0,0.17527960369679896,1.1760031286329884
sub-M87100481,32,sub-M87100481_win_32,0.48460159162976346,0.401324216948618,0.0,1.103708809543276
sub-M87100481,33,sub-M87100481_win_33,0.405702789844959,0.0,0.2568146427260576,1.3197432675857446
sub-M87100481,34,sub-M87100481_win_34,0.4462958991638164,0.10562131333429114,0.0,1.2598896720824841
sub-M87100481,35,sub-M87100481_win_35,0.3470535420039962,0.1707363101294863,0.0,1.1419533807031872
sub-M87100481,36,sub-M87100481_win_36,0.3825474098300701,0.04366693572921321,0.0,1.2957070233616372
sub-M87100481,37,sub-M87100481_win_37,0.45613494945791544,0.12255891429751475,0.0,1.3739652710295198
sub-M87100481,38,sub-M87100481_win_38,0.5814005458038762,0.16458470287942717,0.0,1.0200394654488516
sub-M87100481,39,sub-M87100481_win_39,0.5763388733057342,0.0,0.3764788460192028,0.8709308268855969
sub-M87100481,40,sub-M87100481_win_40,0.48053787206409826,0.2890816949914621,0.0,1.1002037279361305
sub-M87100481,41,sub-M87100481_win_41,0.34540474624432527,0.21679123218145602,0.0,1.096658639123862
sub-M87100481,42,sub-M87100481_win_42,0.3607961875537278,0.17835914039024203,0.0,1.3010526818626147
sub-M87100481,43,sub-M87100481_win_43,0.44503457663858814,0.33661906762319926,0.0,1.1715840546328629
sub-M87100481,44,sub-M87100481_win_44,0.5192000143224833,0.14345667627625325,0.0,1.1091184020207665
sub-M87100481,45,sub-M87100481_win_45,0.5761703252344201,0.07281980313458103,0.0,1.2093669765321273
sub-M87100481,46,sub-M87100481_win_46,0.7148840504681093,0.2587982990654245,0.0,0.807939441992441
sub-M87100481,47,sub-M87100481_win_47,0.4627797771426305,0.08237383774639717,0.0,1.308605067319383
sub-M87100481,48,sub-M87100481_win_48,0.4863525931190269,0.3363430001948471,0.0,1.1783709520552463
sub-M87100481,49,sub-M87100481_win_49,0.2948109708718132,0.0,0.2221919840928681,1.0208300131835308
sub-M87100481,50,sub-M87100481_win_50,0.5495133782811861,0.2166810903019485,0.0,1.1079025912699185
sub-M87100481,51,sub-M87100481_win_51,0.33111659551601313,0.1302098859534837,0.0,1.1794524940813735
sub-M87100481,52,sub-M87100481_win_52,0.3318757298057111,0.13396911220148766,0.0,1.3230261354536381
sub-M87100481,53,sub-M87100481_win_53,0.336647330568109,0.0,0.00937151490463517,1.2917579163316208
sub-M87100481,54,sub-M87100481_win_54,0.3096186134643677,0.12316116367826435,0.0,1.103427255121093
sub-M87100481,55,sub-M87100481_win_55,0.4182159048305456,0.24841688052840194,0.0,1.225918022248531
sub-M87100481,56,sub-M87100481_win_56,0.3598278333641973,0.0,0.2715778234195847,1.2635016684378826
sub-M87100481,57,sub-M87100481_win_57,0.5651157517270198,0.057453980119912096,0.0,1.1895755303783115
sub-M87100481,58,sub-M87100481_win_58,0.4732437287166773,0.1531144837068812,0.0,1.2172395200789472
sub-M87100481,59,sub-M87100481_win_59,0.32402302752006396,0.17788300279721625,0.0,1.2664861628228072
sub-M87100481,60,sub-M87100481_win_60,0.48845691669146696,0.0,0.2162609382656857,1.356914360104243
sub-M87100481,61,sub-M87100481_win_61,0.28515083996597834,0.42028845665898285,0.0,1.123770058480523
sub-M87100481,62,sub-M87100481_win_62,0.36402220212419767,0.0017675464725668277,0.0,1.250469154179803
sub-M87100481,63,sub-M87100481_win_63,0.38374663988264235,0.0933768282784957,0.0,1.1862795896506961
sub-M87100481,64,sub-M87100481_win_64,0.45202064285293364,0.0,0.026434561601934803,1.4290916350776515
sub-M87100481,65,sub-M87100481_win_65,0.45274440136612704,0.013772946061298974,0.0,1.338054358569142
sub-M87100481,66,sub-M87100481_win_66,0.31532468408930736,0.11329676612347761,0.0,1.194282280248503
sub-M87100481,67,sub-M87100481_win_67,0.3246515126154286,0.2719911879543151,0.0,1.039682257011008
sub-M87100481,68,sub-M87100481_win_68,0.4031844971290024,0.0,0.29161654769243395,1.1556370154523208
sub-M87100481,69,sub-M87100481_win_69,0.41027273335796366,0.19558500306666193,0.0,1.0912248639963043
sub-M87100481,70,sub-M87100481_win_70,0.43445017861855106,0.0,0.19951610469934433,1.1284828061713528
sub-M87100481,71,sub-M87100481_win_71,0.2774359399735076,0.06603717315669311,0.0,1.4081789789073431
sub-M87100481,72,sub-M87100481_win_72,0.25103719941464675,0.39303133987979955,0.0,1.1429926927008154
sub-M87100481,73,sub-M87100481_win_73,0.37052348619715403,0.19018905538614028,0.0,1.1407249987874302
sub-M87100481,74,sub-M87100481_win_74,0.4972627619038308,0.05457787966291949,0.0,1.3786050673193788
sub-M87100481,75,sub-M87100481_win_75,0.42435699595342946,0.18873371920726179,0.0,1.2596451689979054
sub-M87100481,76,sub-M87100481_win_76,0.6326575517095767,0.03027403507706694,0.0,1.2622132233573078
sub-M87100481,77,sub-M87100481_win_77,0.3165679344667405,0.5180344825588907,0.0,1.0919320479924952
sub-M87100481,78,sub-M87100481_win_78,0.6477270010154204,0.12874274227172666,0.0,1.102400408777826
sub-M87100481,79,sub-M87100481_win_79,0.365823186043988,0.0,0.08506348720017964,1.3798061187038053
sub-M87100481,80,sub-M87100481_win_80,0.3655057983089014,0.09442375317352436,0.0,1.1854375323209991
sub-M87100481,81,sub-M87100481_win_81,0.28544012202082847,0.23930368111339462,0.0,1.133243132161172
sub-M87100481,82,sub-M87100481_win_82,0.3504578099090807,0.14921056519873144,0.0,1.2273127947324332
sub-M87100481,83,sub-M87100481_win_83,0.4713413142162022,0.0,0.45480294584372505,1.0253938854956175
sub-M87100481,84,sub-M87100481_win_84,0.5036141858599557,0.0,0.0026225908114447805,1.3075915441566028
