feature,g_ds003474,se_ds003474,p_ds003474,g_ds003478,se_ds003478,p_ds003478,g_MODMA,se_MODMA,p_MODMA,g_TDBRAIN,se_TDBRAIN,p_TDBRAIN,n_consistent,direction,n_sig_p05,n_sig_p10,g_pooled,se_pooled,p_pooled
te_cACC_frontal,0.18570770838814954,0.22786474301421777,0.9964079291840373,-0.07273071192576715,0.2230601724920946,0.18085193022056778,-0.1596257189733169,0.2763870585572,0.6231542337350422,0.1642574844886177,0.1566867438229464,0.13047812335489464,2,MDD>,0,0,0.07207312299783754,0.10359474013136256,0.486603046736541
dds_cACC_A1,0.468382314369868,0.23018460847631303,0.2779287369863407,-0.06691235482954831,0.22305016544198153,0.9966319390621369,0.17033873633985097,0.27644738087392523,0.1356930431161223,-0.2579654173679433,0.15686397101439212,0.09453209187437435,2,MDD>,0,1,0.0487715536347695,0.16912945909891397,0.77306492536632
te_RH_frontal,0.3027668785115579,0.22858469823793243,0.2622878293898382,-0.16185355624806885,0.2233175164966958,0.4448395817425417,-0.08483727991358467,0.2760748538862772,0.809380487457401,0.029629036989943548,0.15656971187514807,0.6946832090217863,2,MDD>,0,0,0.028404602553223086,0.10363750508064326,0.7840258485152345
dds_cACC_alpha1,0.3687319485160272,0.22914086479437729,0.1269648366179117,-0.33227853005771585,0.22435110637517236,0.23555457487115594,0.22494045282149047,0.276815402146999,0.24183476209468413,-0.16257058805195224,0.15668427284452197,0.09213534198650865,2,MDD>,0,1,-0.002177051605510168,0.15821587208804708,0.9890214488071709
dds_cACC_alpha1,0.3687319485160272,0.22914086479437729,0.1269648366179117,-0.33227853005771585,0.22435110637517236,0.23555457487115594,0.22494045282149047,0.276815402146999,0.24183476209468413,-0.16257058805195224,0.15668427284452197,0.09213534198650865,2,MDD>,0,1,-0.002177051605510168,0.15821587208804708,0.9890214488071709
dds_LH_alpha2,-0.1369137310721063,0.22766613701015556,0.4741029171131017,0.037144950890703785,0.22301201085552838,0.8164069090201347,-0.021345583010146576,0.27595964147046514,0.6358175890650388,0.006028366497001453,0.15656593735671986,0.4674324259616046,2,MDD>,0,0,-0.02066944039540283,0.10351380794583215,0.8417323432558625
dds_LH_alpha2,-0.1369137310721063,0.22766613701015556,0.4741029171131017,0.037144950890703785,0.22301201085552838,0.8164069090201347,-0.021345583010146576,0.27595964147046514,0.6358175890650388,0.006028366497001453,0.15656593735671986,0.4674324259616046,2,MDD>,0,0,-0.02066944039540283,0.10351380794583215,0.8417323432558625
dds_RH_A1,0.27297974952265475,0.22836900397163545,0.4630539632383798,-0.30152593205956785,0.22411230396795434,0.6154362115152661,0.1331262036483855,0.27625462800797823,0.48030790786287825,-0.10684025573794333,0.15661696516779658,0.29665003730812434,2,MDD>,0,0,-0.02828313027813203,0.11982040669708605,0.8133969591028853
dds_cACC_phi1,-0.1357479555895029,0.2276621249708558,0.5138908912577136,0.2081575889278439,0.2235281874433605,0.4398249072239755,0.0785935207629874,0.276057418520914,0.36685526790735234,-0.15107436142981753,0.1566681113835479,0.39801534946927875,2,MDD>,0,0,-0.038388648060258566,0.1035996352143082,0.7109741438489188
dds_cACC_r2,-0.06703408676919374,0.2274861820836974,0.7220962084321596,0.06760326572657582,0.22305131013679258,0.6884062546563474,0.006327902524184923,0.2759525376679449,0.48030790786287825,-0.30769790650618556,0.15698986088540123,0.0927456904096068,2,MDD>,0,1,-0.13248358012864908,0.10362261812998397,0.2010661701032772
